Suburb,Floor,Total_floor,Parking,num_BHK,Preference,Furnishing,Veg/Non-veg,num_amenities,age,balconies,area,Rent
Ulwe,2,7,0,1,Family,UnFurnished,Veg/Non Veg,4,,3,670.0,11000.0
Ulwe,3,4,0,1,Family,Semi Furnished,Veg/Non Veg,5,,3,625.0,8000.0
Dahisar East,4,6,0,1,Family,Semi Furnished,Only Vegetarian,12,,0,520.0,28000.0
Bhayander,2,8,0,1,Family,UnFurnished,Veg/Non Veg,19,,0,550.0,15000.0
Ulwe,6,7,1,2,Family/Bachelor,UnFurnished,Veg/Non Veg,5,3.0,2,966.6666666666666,16000.0
Mira road east,15,25,1,2,Family,Semi Furnished,Veg/Non Veg,23,0.0,3,848.3333333333334,30000.0
Chandivali,11,21,1,2,Family,UnFurnished,Veg/Non Veg,19,5.0,1,845.0,70000.0
Mumbai,4,7,0,1,Family/Bachelor,Semi Furnished,Veg/Non Veg,20,10.0,0,225.0,19000.0
Cuffe Parade,12,20,1,3,Family/Bachelor,Semi Furnished,Veg/Non Veg,1,,0,,270000.0
Koliwada,1,7,0,2,Family,UnFurnished,Veg/Non Veg,7,5.0,0,733.25,30000.0
Mira Bhayandar,3,7,2,2,Family,Semi Furnished,Veg/Non Veg,17,,0,,23000.0
Matunga West,9,19,1,1,Family/Bachelor,Semi Furnished,Veg/Non Veg,1,,0,,70000.0
Santacruz West,9,13,2,3,Family,Semi Furnished,Only Vegetarian,8,,0,1200.0,114999.99999999999
Bhayander,1,3,1,2,Family,UnFurnished,Veg/Non Veg,2,,1,950.0,21000.0
Mira road east,5,16,1,1,Family,Semi Furnished,Veg/Non Veg,12,,3,700.0,22000.0
Kopar Khairane,3,4,1,1,Family,Fully Furnished,Veg/Non Veg,4,5.0,3,596.6666666666666,40000.0
Bandra,2,7,1,1,Family/Bachelor,UnFurnished,Veg/Non Veg,2,,0,666.6666666666666,45000.0
Chandivali,2,7,0,1,Family/Bachelor,UnFurnished,Veg/Non Veg,16,10.0,0,216.66666666666666,16000.0
Kandivali East,1,4,0,1,Family/Bachelor,UnFurnished,Veg/Non Veg,1,,0,,18000.0
Dindoshi,12,20,1,2,Family/Bachelor,Semi Furnished,Veg/Non Veg,18,3.0,0,792.6666666666666,55000.0
Malad West,5,7,0,1,Family/Bachelor,Semi Furnished,Veg/Non Veg,2,,0,,32000.0
Santacruz West,3,6,1,2,Family/Bachelor,Semi Furnished,Only Vegetarian,19,3.0,2,825.0,150000.0
Chakala,6,11,1,3,Family/Bachelor,Fully Furnished,Veg/Non Veg,12,3.0,1,1538.0,130000.0
Mira road east,10,25,1,2,Family,UnFurnished,Veg/Non Veg,17,0.0,3,866.6666666666666,26000.0
Mira road east,5,7,0,2,Family,Fully Furnished,Veg/Non Veg,10,5.0,3,850.0,51246.01366742597
Kurar Village,36,40,1,2,Family/Bachelor,Fully Furnished,Veg/Non Veg,26,,0,1050.0,57000.0
Ulwe,4,7,0,1,Family,UnFurnished,Veg/Non Veg,5,1.0,3,565.0,14000.0
Near vaishno Heights,10,22,1,2,Family/Bachelor,Fully Furnished,Veg/Non Veg,17,3.0,0,860.0,60000.0
Mira Road East,14,15,1,3,Family,Semi Furnished,Veg/Non Veg,11,5.0,4,1200.0,40000.0
Gokuldham Colony,4,7,1,1,Family/Bachelor,UnFurnished,Veg/Non Veg,4,10.0,0,650.0,30000.0
Ulwe Navi Mumbai,9,13,1,2,Family,Semi Furnished,Veg/Non Veg,18,1.0,4,885.0,23000.0
Off Linkin Road,5,9,1,2,Family,Semi Furnished,Veg/Non Veg,8,,1,950.0,80000.0
Mira Road,15,23,1,2,Family,UnFurnished,Veg/Non Veg,1,,4,,30000.0
Goregaon East,20,45,2,3,Family,Fully Furnished,Veg/Non Veg,46,5.0,0,1526.25,130000.0
Goregaon West,16,30,1,3,Family/Bachelor,Semi Furnished,Veg/Non Veg,12,,0,1000.0,100000.0
Mira Bhayandar,5,7,1,1,Family,Semi Furnished,Veg/Non Veg,18,,1,,22000.0
